,응답자ID,조사시작일자,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,중국여행관심값,일본여행관심값,홍콩마카오여행관심값,동남아시아여행관심값,중동서남아시아여행관심값,미국캐나다여행관심값,남미중남미여행관심값,서유럽북유럽여행관심값,동유럽여행관심값,남유럽여행관심값,남태평양여행관심값,아프리카여행관심값
0,53323765,20230828,F,60,서울특별시,2.0,3,3,1,1,3,4,3,4,1,2,5,1
1,53324726,20230828,F,60,서울특별시,3.0,2,3,3,3,3,4,3,4,3,3,4,2
2,53365304,20230828,F,60,서울특별시,2.0,1,2,3,3,3,3,3,3,3,3,3,3
3,53322673,20230828,F,60,서울특별시,2.0,2,2,3,4,2,3,4,3,4,4,4,3
4,53323927,20230828,F,60,서울특별시,2.0,3,3,3,4,4,4,4,4,3,4,3,3
5,53346245,20230828,F,60,서울특별시,2.0,3,3,3,3,5,4,3,3,4,5,4,1
6,53327286,20230828,F,50,경기도,2.0,2,2,3,1,3,3,3,2,3,2,3,3
7,53331218,20230828,F,50,경기도,4.0,1,4,3,4,2,3,3,4,3,3,4,3
8,53332216,20230828,F,50,경기도,3.0,3,2,3,4,3,3,3,4,4,4,4,3
9,53325901,20230828,F,50,경기도,3.0,2,1,3,3,2,2,2,3,2,2,2,1
10,53336938,20230828,F,50,경기도,2.0,1,5,5,4,4,4,3,3,3,3,3,3
11,53375321,20230828,F,50,경기도,4.0,2,3,2,4,4,3,2,3,4,3,4,3
12,53375359,20230828,F,50,경기도,3.0,2,1,3,3,3,4,3,5,4,4,4,3
13,53327300,20230828,F,50,경기도,2.0,2,3,3,3,1,4,4,3,2,4,4,1
14,53350084,20230828,F,50,경기도,3.0,2,4,2,3,4,4,3,3,3,3,4,1
15,53370715,20230828,F,50,경기도,4.0,2,2,3,3,3,4,4,4,3,4,4,4
16,53343854,20230828,F,50,경기도,1.0,3,1,3,3,2,2,3,3,1,3,3,3
17,53369842,20230828,F,50,대구광역시,1.0,3,3,4,3,4,3,4,4,4,4,4,3
18,53350473,20230828,F,50,전라남도,1.0,4,5,3,2,4,5,4,2,3,3,3,3
19,53357898,20230828,F,50,전라남도,4.0,2,3,3,3,3,3,3,3,3,3,3,3
20,53328379,20230828,F,50,전라남도,3.0,1,1,3,1,4,1,1,5,5,5,4,1
21,53353778,20230828,F,40,경기도,3.0,3,5,3,4,3,3,3,5,4,4,4,3
22,53365448,20230828,F,40,경기도,4.0,3,4,3,3,3,5,3,4,4,4,5,3
23,53330062,20230828,F,40,경기도,3.0,3,3,3,4,3,3,3,3,3,3,3,3
24,53354823,20230828,F,40,경기도,4.0,1,4,4,5,1,4,3,5,3,4,4,3
25,53354681,20230828,F,40,경기도,2.0,1,1,2,5,2,2,2,2,3,3,5,1
26,53352695,20230828,F,40,경기도,2.0,1,2,3,5,1,2,1,2,3,2,5,1
27,53323813,20230828,F,40,서울특별시,2.0,2,5,5,5,3,5,5,5,5,5,5,2
28,53374461,20230828,F,40,서울특별시,1.0,1,1,1,1,1,1,1,1,1,1,1,1
29,53358079,20230828,F,40,서울특별시,4.0,2,1,2,3,1,4,2,4,5,4,5,1
30,53322770,20230828,F,40,서울특별시,2.0,3,1,3,4,3,3,3,3,3,3,3,3
31,53340630,20230828,F,40,충청북도,2.0,2,1,2,2,3,4,4,3,3,3,3,3
32,53357518,20230828,F,30,경기도,1.0,1,3,3,1,2,4,2,4,4,4,3,1
33,53345315,20230828,F,30,경기도,2.0,1,5,5,5,1,1,1,1,1,1,3,1
34,53348157,20230828,F,30,경기도,3.0,1,1,3,2,2,2,2,2,2,2,3,2
35,53340774,20230828,F,30,충청북도,2.0,2,1,1,3,5,2,5,2,5,2,3,5
36,53345510,20230828,F,30,전라북도,4.0,2,1,4,3,1,3,1,4,4,4,4,1
37,53336448,20230828,F,20,서울특별시,3.0,3,5,5,4,2,3,2,4,3,3,3,2
38,53343397,20230828,F,20,서울특별시,1.0,4,4,3,5,2,3,2,2,3,2,5,3
39,53325386,20230828,F,20,서울특별시,4.0,4,4,4,5,1,3,3,4,4,4,4,2
40,53324543,20230828,F,20,서울특별시,2.0,2,2,1,5,1,1,4,2,3,3,1,3
41,53374720,20230828,F,20,서울특별시,3.0,1,5,2,3,2,4,2,5,4,3,4,1
42,53359321,20230828,F,20,서울특별시,3.0,3,2,3,4,1,2,3,2,3,3,4,3
43,53368610,20230828,F,20,서울특별시,1.0,1,4,3,4,1,3,1,5,4,4,3,1
44,459926,20230828,F,20,부산광역시,2.0,2,4,2,3,3,3,2,3,2,3,4,3
45,53335911,20230828,F,20,부산광역시,2.0,2,3,4,5,1,3,1,3,3,4,4,1
46,53337423,20230828,F,20,부산광역시,2.0,1,1,4,5,2,3,4,2,4,5,4,3
47,53353134,20230828,M,60,부산광역시,4.0,3,4,4,3,4,4,4,4,4,4,4,4
48,53350918,20230828,M,60,부산광역시,3.0,2,1,2,3,2,2,2,3,2,3,3,1
49,53344620,20230828,M,50,대전광역시,4.0,3,1,3,4,4,3,3,4,3,3,3,3
50,53355730,20230828,M,50,울산광역시,2.0,1,3,3,3,3,3,3,4,4,4,4,3
51,53363205,20230828,M,40,경기도,2.0,3,1,3,4,3,3,1,4,3,3,3,1
52,53353515,20230828,M,40,경기도,4.0,2,3,3,2,3,3,3,3,4,3,4,3
53,53361049,20230828,M,40,경기도,2.0,1,3,3,4,2,4,2,5,4,4,4,1
54,53372414,20230828,M,40,경기도,4.0,1,4,3,3,1,5,1,4,4,4,5,1
55,53375628,20230828,M,40,경기도,2.0,1,3,3,3,1,3,3,3,3,3,3,1
56,53344431,20230828,M,40,경기도,2.0,1,4,2,4,3,1,1,3,3,2,3,3
57,53368306,20230828,M,40,경기도,3.0,3,2,2,3,3,2,3,4,4,4,3,3
58,53352836,20230828,M,40,경기도,2.0,2,1,3,3,2,3,3,3,3,3,3,1
59,53373410,20230828,M,40,서울특별시,4.0,1,3,1,3,2,3,5,5,3,5,3,1
60,53373065,20230828,M,30,광주광역시,3.0,1,4,2,4,1,4,3,3,4,3,4,3
61,53366698,20230828,M,30,충청북도,2.0,3,3,3,3,3,3,2,4,3,3,3,3
62,53350886,20230828,M,30,충청북도,1.0,1,1,1,1,1,1,1,1,1,1,1,1
63,53376601,20230828,M,30,경상남도,2.0,2,4,5,5,1,5,5,5,5,5,5,4
64,53344329,20230828,M,30,경상남도,3.0,1,5,4,5,3,4,1,1,1,1,4,1
65,53369545,20230828,M,30,경상남도,2.0,2,2,3,3,2,3,2,3,3,3,3,2
66,53361492,20230828,F,50,전라북도,4.0,3,3,3,4,2,3,3,4,4,4,4,4
67,107336,20230828,F,60,전라남도,3.0,4,3,4,4,5,5,4,4,5,4,5,5
68,366312,20230828,F,60,경상북도,1.0,2,5,4,3,3,3,3,4,4,4,4,3
69,447283,20230828,F,60,경상남도,4.0,2,1,5,3,2,4,5,3,3,5,5,3
70,461496,20230828,M,20,경기도,1.0,3,3,3,3,3,3,3,3,3,3,3,3
71,461885,20230828,M,20,전라남도,1.0,1,1,1,1,1,4,1,4,4,4,4,1
72,463926,20230828,M,20,서울특별시,3.0,1,4,1,3,2,3,3,4,3,2,4,1
73,465148,20230828,M,20,광주광역시,2.0,3,4,3,3,2,3,3,2,3,4,2,2
74,53322222,20230828,M,30,서울특별시,3.0,1,4,3,4,2,4,3,3,3,3,4,1
75,53322956,20230828,M,60,서울특별시,2.0,2,2,3,3,3,4,3,3,3,3,3,2
76,53323309,20230828,M,30,서울특별시,2.0,3,5,3,4,3,3,3,1,4,5,3,1
77,53323443,20230828,F,30,서울특별시,2.0,1,1,3,5,1,3,1,3,1,3,3,1
78,53324299,20230828,F,20,경기도,2.0,1,4,3,2,1,3,4,3,4,4,5,3
79,53324432,20230828,M,20,서울특별시,2.0,3,5,4,5,4,5,3,5,5,5,4,3
80,53325127,20230828,M,60,서울특별시,3.0,4,3,1,4,1,1,4,1,1,1,1,1
81,53325141,20230828,M,20,서울특별시,2.0,4,5,3,3,2,3,3,4,3,3,3,1
82,53325330,20230828,M,60,서울특별시,2.0,2,2,3,3,2,3,3,3,3,3,3,3
83,53325513,20230828,M,60,울산광역시,3.0,1,1,3,1,1,3,4,3,3,3,3,1
84,53326191,20230828,M,60,충청북도,3.0,2,1,2,4,3,3,2,3,3,3,4,2
85,53326343,20230828,M,60,경기도,2.0,2,3,2,2,2,3,4,3,4,3,4,3
86,53326473,20230828,M,20,충청남도(세종시 포함),4.0,1,4,4,4,4,3,3,3,3,3,3,3
87,53326696,20230828,M,30,경기도,4.0,1,1,2,5,1,3,4,4,4,3,4,3
88,53327070,20230828,F,60,부산광역시,2.0,4,4,2,4,4,4,3,4,4,5,4,3
89,53328013,20230828,F,50,서울특별시,2.0,3,3,3,3,1,4,2,4,4,4,3,3
90,53328593,20230828,F,40,대구광역시,2.0,1,1,3,4,3,4,3,5,5,5,5,3
91,53328827,20230828,F,50,대전광역시,4.0,3,4,3,3,2,4,3,4,4,3,3,3
92,53328909,20230828,F,40,울산광역시,4.0,1,3,4,3,3,4,3,4,4,4,3,3
93,53329502,20230828,F,30,경상남도,2.0,1,1,3,4,2,2,2,2,2,2,4,2
94,53329506,20230828,M,20,경기도,2.0,2,4,3,3,2,3,3,4,3,3,3,3
95,53329720,20230828,M,30,경기도,3.0,1,3,4,3,1,4,1,4,4,4,3,1
96,53329778,20230828,M,40,부산광역시,3.0,1,1,3,1,1,3,1,4,4,4,4,1
97,53330111,20230828,F,40,전라북도,1.0,2,1,3,3,4,5,1,5,5,4,4,3
98,53330263,20230828,F,30,대구광역시,3.0,2,4,4,4,1,3,2,3,3,3,4,2
99,53330719,20230828,M,40,제주도,2.0,1,1,3,3,2,3,4,3,3,3,4,3
100,53330740,20230828,M,50,경기도,2.0,3,3,4,5,2,3,4,3,3,4,4,2
101,53330957,20230828,M,20,충청북도,1.0,3,4,4,3,3,4,4,4,3,3,4,3
102,53331095,20230828,M,50,서울특별시,3.0,2,4,3,4,3,3,3,3,4,3,3,3
103,53331173,20230828,F,30,인천광역시,3.0,1,4,4,4,3,5,4,5,5,5,5,3
104,53331201,20230828,F,20,충청남도(세종시 포함),3.0,3,4,3,4,3,2,3,4,2,4,4,3
105,53331344,20230828,M,40,광주광역시,1.0,3,3,3,4,3,3,3,3,3,3,3,3
106,53331372,20230828,M,50,서울특별시,2.0,1,5,1,5,3,3,1,3,3,4,3,1
107,53331389,20230828,M,20,경기도,1.0,1,3,5,4,1,1,1,1,1,1,1,1
108,53331657,20230828,M,30,경기도,2.0,3,3,3,3,3,3,3,3,3,3,3,3
109,53331723,20230828,M,60,경기도,1.0,2,3,4,3,4,4,3,4,4,4,3,2
110,53331812,20230828,F,50,서울특별시,4.0,3,3,3,3,4,3,3,4,4,4,3,3
111,53332051,20230828,M,60,인천광역시,4.0,2,2,3,4,3,3,4,2,2,3,4,3
112,53332782,20230828,F,60,충청남도(세종시 포함),3.0,3,3,3,3,2,2,2,2,2,2,2,1
113,53332839,20230828,M,20,전라남도,1.0,2,4,3,3,3,3,3,4,4,4,4,2
114,53332974,20230828,M,30,경기도,2.0,2,4,3,3,3,3,3,3,2,3,3,3
115,53333418,20230828,F,60,인천광역시,2.0,1,2,4,2,2,4,4,5,4,5,3,2
116,53334099,20230828,M,50,경기도,4.0,2,4,3,4,4,3,3,4,3,3,3,4
117,53334180,20230828,F,60,경상남도,2.0,2,3,4,3,3,5,4,3,4,2,4,3
118,53335414,20230828,F,40,인천광역시,3.0,3,1,3,4,1,3,2,3,3,3,4,3
119,53335576,20230828,M,20,강원도,2.0,3,4,3,3,1,4,1,3,4,3,4,1
120,53336023,20230828,F,40,부산광역시,3.0,1,1,1,5,1,3,1,5,3,1,5,1
121,53336074,20230828,F,30,서울특별시,1.0,1,1,3,1,1,4,1,3,2,4,3,1
122,53336386,20230828,F,50,인천광역시,4.0,2,2,3,3,3,4,4,4,4,4,3,3
123,53336603,20230828,F,20,대구광역시,2.0,3,3,3,3,3,5,3,3,3,3,3,3
124,53336615,20230828,F,40,충청남도(세종시 포함),3.0,1,4,3,3,2,5,5,5,5,5,5,1
125,53337005,20230828,M,50,서울특별시,4.0,3,3,2,3,2,2,2,3,3,3,3,2
126,53337066,20230828,M,30,서울특별시,2.0,3,3,3,3,3,3,3,3,3,3,3,3
127,53337476,20230828,F,30,인천광역시,1.0,1,3,2,1,3,4,3,3,4,4,3,4
128,53337522,20230828,M,30,경상북도,2.0,1,3,2,2,2,4,2,4,2,4,3,2
129,53337961,20230828,F,60,경상남도,3.0,4,1,4,4,3,3,3,3,3,3,3,3
130,53338314,20230828,F,50,울산광역시,2.0,1,2,2,3,1,1,1,1,1,1,2,1
131,53338420,20230828,F,30,대전광역시,3.0,1,1,4,1,1,2,1,2,1,3,3,3
132,53338816,20230828,F,40,광주광역시,1.0,3,2,3,4,3,3,3,3,3,3,3,2
133,53338975,20230828,M,60,서울특별시,3.0,1,4,1,1,1,4,1,4,1,3,2,1
134,53339632,20230828,M,20,충청남도(세종시 포함),2.0,1,4,4,4,3,3,3,3,3,3,4,2
135,53340224,20230828,M,60,대구광역시,1.0,2,1,2,3,2,2,2,2,2,1,1,1
136,53340899,20230828,M,60,강원도,2.0,2,4,2,3,2,3,2,2,2,2,2,3
137,53341062,20230828,M,30,서울특별시,2.0,1,1,1,1,1,1,1,1,1,1,1,1
138,53341318,20230828,M,60,전라북도,4.0,3,2,3,3,4,3,3,4,4,4,3,3
139,53341537,20230828,F,30,경상북도,3.0,3,4,3,3,3,3,3,3,3,3,4,3
140,53342074,20230828,F,50,부산광역시,1.0,3,2,3,4,3,3,3,4,3,3,4,1
141,53342808,20230828,F,20,강원도,1.0,2,4,3,4,3,4,2,3,3,3,3,1
142,53343100,20230828,M,50,충청북도,2.0,3,3,3,3,3,3,3,3,3,3,3,3
143,53343297,20230828,M,30,서울특별시,2.0,1,4,1,3,1,5,1,5,3,1,5,1
144,53343330,20230828,F,40,광주광역시,4.0,3,2,2,2,2,4,2,4,2,4,4,2
145,53343380,20230828,M,30,서울특별시,4.0,1,4,3,4,1,4,1,3,2,3,4,1
146,53343756,20230828,F,40,충청남도(세종시 포함),3.0,1,3,3,4,2,3,3,4,5,4,4,3
147,53343827,20230828,M,60,광주광역시,1.0,4,4,3,3,3,4,3,4,4,4,3,2
148,53344144,20230828,F,60,경상남도,4.0,1,1,2,3,2,3,3,2,2,1,3,1
149,53345357,20230828,M,60,경상북도,4.0,3,4,2,3,3,3,3,3,2,2,3,2
150,53346019,20230828,M,30,부산광역시,1.0,3,3,3,3,3,3,3,3,3,3,3,3
151,53346213,20230828,M,20,경기도,2.0,2,4,3,3,2,3,3,4,3,2,3,2
152,53346369,20230828,M,50,광주광역시,3.0,3,1,4,3,1,3,3,3,4,1,5,3
153,53346461,20230828,M,20,강원도,2.0,1,5,3,3,3,3,3,3,3,3,3,1
154,53346582,20230828,M,20,경기도,2.0,3,3,3,3,3,3,3,3,3,3,3,3
155,53346590,20230828,M,50,부산광역시,3.0,2,3,2,3,3,3,2,4,1,3,3,2
156,53346616,20230828,M,60,강원도,4.0,4,4,3,5,1,4,1,2,2,2,2,1
157,53346716,20230828,F,50,경상남도,2.0,5,5,4,5,5,3,3,5,5,5,5,2
158,53346821,20230828,M,40,경상남도,3.0,3,1,3,4,1,1,3,4,4,3,3,3
159,53346936,20230828,F,60,부산광역시,1.0,1,3,4,4,2,2,4,5,4,3,4,1
160,53347765,20230828,F,30,경상남도,3.0,3,5,3,5,1,5,3,4,3,3,5,3
161,53347962,20230828,F,30,강원도,2.0,1,1,3,4,1,3,3,3,3,3,4,3
162,53348491,20230828,M,60,충청북도,2.0,1,3,2,3,3,2,1,3,3,4,3,1
163,53348800,20230828,M,50,경기도,4.0,1,5,2,5,1,3,1,4,4,3,5,1
164,53348946,20230828,M,50,경상남도,3.0,3,5,5,4,3,3,3,4,4,4,4,3
165,53348965,20230828,F,50,서울특별시,4.0,1,4,2,2,1,4,4,4,4,4,2,3
166,53349553,20230828,F,40,부산광역시,4.0,3,1,3,3,3,3,3,3,3,3,4,3
167,53349752,20230828,M,60,서울특별시,2.0,2,5,2,3,2,3,3,4,4,4,3,2
168,53349768,20230828,F,30,충청남도(세종시 포함),4.0,3,3,4,4,3,3,3,3,3,3,4,3
169,53350045,20230828,F,40,경상북도,4.0,1,3,3,4,1,2,1,1,1,1,1,1
170,53350313,20230828,F,60,전라남도,3.0,2,3,2,3,2,3,2,3,2,3,3,2
171,53350325,20230828,M,50,경상북도,2.0,2,1,3,2,3,3,3,3,3,3,3,2
172,53350794,20230828,M,40,경상남도,2.0,3,2,4,2,2,4,2,4,2,4,4,1
173,53351234,20230828,F,50,울산광역시,1.0,3,3,3,3,4,3,3,5,5,5,3,3
174,53352302,20230828,M,30,서울특별시,4.0,1,3,4,4,3,3,4,3,4,3,3,3
175,53352465,20230828,M,60,전라남도,2.0,4,2,2,2,2,4,4,4,5,3,4,2
176,53352481,20230828,M,50,서울특별시,4.0,1,3,3,4,3,3,3,3,4,3,3,3
177,53352565,20230828,F,60,부산광역시,1.0,4,4,3,3,3,4,2,1,2,3,2,3
178,53353129,20230828,M,50,서울특별시,3.0,1,3,3,1,1,1,4,1,2,4,2,1
179,53353230,20230828,M,50,광주광역시,1.0,1,1,2,3,1,3,1,3,1,1,3,1
180,53354228,20230828,M,20,광주광역시,2.0,1,5,3,5,3,5,2,4,2,3,3,3
181,53354512,20230828,F,20,경기도,2.0,2,1,2,3,2,4,3,3,3,3,4,1
182,53354626,20230828,M,50,경기도,4.0,1,5,2,4,2,4,2,2,3,2,5,1
183,53355848,20230828,M,40,부산광역시,2.0,3,5,4,3,3,4,4,4,4,3,2,2
184,53355899,20230828,F,30,서울특별시,2.0,2,3,3,3,1,3,3,3,3,3,3,2
185,53356627,20230828,F,30,서울특별시,4.0,1,2,3,4,1,4,3,4,3,4,3,1
186,53356671,20230828,F,60,경기도,1.0,2,2,2,4,2,4,2,4,4,4,4,2
187,53356915,20230828,M,50,서울특별시,4.0,4,1,4,3,4,3,3,3,4,3,3,3
188,53357552,20230828,F,20,경기도,2.0,2,4,3,4,3,4,3,3,4,3,5,3
189,53357604,20230828,F,40,전라남도,4.0,1,3,3,3,2,4,2,4,4,4,4,2
190,53357691,20230828,F,50,경상북도,4.0,1,1,3,3,1,3,2,3,3,3,3,3
191,53357904,20230828,M,50,전라북도,3.0,2,5,2,4,3,5,2,4,2,2,4,3
192,53358138,20230828,M,30,인천광역시,3.0,1,1,1,1,1,1,1,1,1,1,1,1
193,53358211,20230828,M,40,충청북도,4.0,3,3,3,4,3,3,3,4,4,4,3,3
194,53358297,20230828,M,20,서울특별시,2.0,3,3,3,3,3,3,3,3,3,3,3,3
195,53358543,20230828,M,20,전라남도,4.0,3,3,3,3,3,3,3,3,3,3,3,3
196,53359116,20230828,M,40,대구광역시,2.0,2,3,3,3,3,3,3,3,3,3,3,3
197,53360066,20230828,M,20,경기도,2.0,1,1,1,1,1,1,1,1,1,1,1,1
198,53360464,20230828,F,60,경기도,3.0,3,4,3,3,2,5,3,4,4,4,4,2
199,53360467,20230828,M,60,경기도,2.0,1,1,2,3,4,3,2,3,3,3,3,2
200,53360613,20230828,F,50,충청남도(세종시 포함),3.0,2,3,2,1,1,2,1,3,2,1,3,1
201,53360676,20230828,F,60,경기도,1.0,1,1,1,1,1,1,1,1,1,1,1,1
202,53360977,20230828,M,40,인천광역시,2.0,1,1,2,2,1,2,2,2,3,3,2,3
203,53361102,20230828,F,60,인천광역시,4.0,2,3,3,3,3,3,3,3,2,2,4,3
204,53361232,20230828,M,60,경기도,1.0,1,1,4,5,1,2,2,4,3,4,4,2
205,53361255,20230828,M,50,서울특별시,4.0,2,1,3,3,4,3,4,3,4,4,4,3
206,53361462,20230828,M,30,강원도,2.0,1,3,3,3,1,3,4,2,2,3,4,1
207,53361899,20230828,M,40,인천광역시,4.0,1,4,3,4,2,4,3,3,3,4,3,3
208,53362036,20230828,M,50,경기도,3.0,3,4,4,4,2,3,3,3,4,3,3,2
209,53362100,20230828,F,50,인천광역시,2.0,3,1,3,3,3,4,3,4,4,4,3,3
210,53362496,20230828,F,50,서울특별시,4.0,2,3,1,5,1,2,1,4,3,2,3,1
211,53362528,20230828,F,50,광주광역시,3.0,2,3,3,3,3,3,4,3,4,3,3,3
212,53362633,20230828,M,60,전라남도,1.0,3,2,3,3,3,3,4,1,5,3,4,4
213,53362707,20230828,F,60,경기도,1.0,1,4,3,3,3,5,2,5,5,3,1,1
214,53363494,20230828,M,50,서울특별시,2.0,1,1,2,2,1,1,1,1,1,1,1,1
215,53363984,20230828,F,40,강원도,4.0,2,4,3,2,1,5,5,4,2,4,3,2
216,53364853,20230828,F,40,충청남도(세종시 포함),3.0,3,2,3,3,3,4,3,3,3,4,4,3
217,53365150,20230828,M,50,충청남도(세종시 포함),2.0,1,1,1,3,3,3,3,3,3,3,3,3
218,53365353,20230828,F,50,부산광역시,3.0,1,3,3,4,1,2,2,2,2,2,3,1
219,53365402,20230828,M,30,경기도,2.0,2,3,4,2,1,4,3,4,4,4,4,3
220,53365663,20230828,F,30,대구광역시,3.0,2,2,2,3,2,3,3,4,2,2,4,2
221,53365735,20230828,M,50,부산광역시,2.0,3,1,3,3,3,3,3,3,3,3,3,3
222,53366944,20230828,M,40,인천광역시,4.0,1,4,3,3,1,4,1,2,3,1,2,1
223,53366971,20230828,F,50,광주광역시,4.0,1,1,1,1,1,3,3,4,4,5,4,2
224,53367065,20230828,F,20,경상북도,4.0,1,4,3,4,2,5,3,5,3,4,5,1
225,53367351,20230828,F,60,경기도,3.0,1,2,2,4,1,1,1,1,2,2,1,1
226,53367652,20230828,M,20,인천광역시,4.0,1,5,5,1,4,5,1,4,4,4,4,1
227,53367708,20230828,M,50,경기도,4.0,3,3,4,4,4,4,4,4,4,4,4,4
228,53367726,20230828,M,60,울산광역시,3.0,4,4,3,4,2,3,3,3,3,3,3,2
229,53367764,20230828,M,50,부산광역시,3.0,3,2,3,4,3,3,3,5,5,4,4,3
230,53368044,20230828,F,40,대구광역시,2.0,1,1,4,4,3,3,3,3,3,3,3,4
231,53368197,20230828,M,50,충청남도(세종시 포함),4.0,3,1,3,3,3,3,3,3,3,3,3,3
232,53368530,20230828,M,50,충청남도(세종시 포함),4.0,3,4,3,3,3,3,3,3,4,3,4,2
233,53369490,20230828,F,60,경기도,3.0,1,3,3,4,2,4,2,4,3,4,3,2
234,53369583,20230828,M,60,경기도,4.0,2,2,2,3,4,4,3,3,3,3,4,3
235,53370086,20230828,F,20,경기도,2.0,3,3,4,3,3,4,4,3,4,4,4,4
236,53370676,20230828,F,30,경상북도,2.0,1,1,1,3,1,1,1,1,1,1,4,1
237,53372098,20230828,M,30,강원도,1.0,3,3,3,3,3,3,3,3,3,3,3,3
238,53372153,20230828,M,60,강원도,4.0,3,4,4,4,3,3,4,4,3,3,4,3
239,53372790,20230828,M,40,인천광역시,4.0,1,3,3,3,3,3,3,3,3,3,3,1
240,53373305,20230828,F,20,경상남도,3.0,3,3,3,3,3,3,3,3,3,3,3,3
241,53374226,20230828,F,20,전라북도,4.0,3,1,5,4,1,4,3,5,3,4,4,3
242,53374604,20230828,M,60,대전광역시,1.0,2,4,3,3,4,3,3,3,3,3,3,3
243,53374770,20230828,F,30,서울특별시,3.0,3,3,3,3,3,3,3,3,3,3,3,3
244,53375631,20230828,M,40,대구광역시,4.0,1,5,4,5,3,4,3,3,3,3,5,2
245,53375685,20230828,F,50,충청남도(세종시 포함),2.0,3,4,3,3,3,3,3,4,4,4,3,3
246,53375953,20230828,F,30,경상남도,3.0,4,4,4,4,4,4,4,4,4,4,4,4
247,53376112,20230828,M,60,경기도,1.0,3,5,3,3,4,4,4,4,4,5,5,3
248,53376506,20230828,M,50,경기도,3.0,1,5,4,4,2,3,3,4,4,4,3,1
