,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,중국여행관심값,일본여행관심값,홍콩마카오여행관심값,동남아시아여행관심값,중동서남아시아여행관심값,미국캐나다여행관심값,남미중남미여행관심값,서유럽북유럽여행관심값,동유럽여행관심값,남유럽여행관심값,남태평양여행관심값,아프리카여행관심값,군집
300,M,60,경기도,1,4,3,2,5,3,3,3,2,3,2,3,2,1
301,M,60,강원도,3,2,2,2,4,2,2,3,2,2,2,3,2,1
302,M,50,서울특별시,2,2,3,3,4,2,2,2,2,2,3,3,2,1
303,M,50,서울특별시,2,3,3,3,4,2,3,2,4,3,3,3,2,1
304,M,50,서울특별시,4,3,3,3,3,4,3,4,4,4,4,3,3,0
305,M,50,서울특별시,3,2,4,2,3,2,4,2,4,5,5,4,4,1
306,M,50,서울특별시,3,2,2,2,3,2,2,2,2,1,2,2,1,1
307,M,50,서울특별시,4,1,5,1,5,4,5,5,3,3,4,5,1,0
308,M,50,대구광역시,3,1,1,1,1,1,2,1,1,1,1,1,1,1
309,M,50,대구광역시,4,3,2,3,4,5,5,4,5,5,5,4,3,0
310,M,40,경기도,1,1,2,2,4,1,2,1,4,2,4,4,1,2
311,M,40,경기도,2,3,3,3,5,1,3,1,3,1,3,4,1,2
312,M,40,경기도,3,2,3,4,3,3,3,3,4,3,4,3,3,2
313,M,40,경기도,4,1,1,2,2,3,4,3,4,4,3,4,1,2
314,M,40,경기도,4,2,3,3,4,1,4,3,4,3,3,3,3,2
315,M,40,경기도,1,2,3,1,5,3,4,3,3,3,2,3,2,2
316,M,40,경기도,4,3,3,3,4,3,3,3,4,4,4,3,3,2
317,M,40,경기도,2,1,1,1,3,1,1,1,1,1,1,3,1,2
318,M,40,충청북도,4,1,3,1,2,1,4,1,4,3,3,5,1,2
319,M,30,경기도,3,1,5,3,5,3,3,3,3,3,3,3,1,1
320,M,30,경기도,2,2,4,2,2,3,4,2,4,3,2,3,1,2
321,M,30,경기도,3,1,4,3,1,1,5,1,5,3,5,4,1,1
322,M,30,경기도,1,1,1,1,1,1,1,1,1,1,1,1,1,2
323,M,30,경기도,3,1,2,1,1,1,1,2,3,1,1,1,1,1
324,M,30,서울특별시,2,3,3,4,4,3,3,3,4,4,4,4,3,3
325,M,30,서울특별시,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,M,30,서울특별시,4,1,4,4,1,1,5,1,5,5,2,3,1,1
327,M,30,서울특별시,3,5,4,4,5,3,4,5,4,4,5,3,3,1
328,M,30,서울특별시,4,1,1,5,5,3,3,3,5,5,3,5,2,1
329,M,30,서울특별시,4,1,3,4,3,2,4,3,3,1,2,4,2,1
330,M,20,경기도,4,1,3,2,2,2,4,1,4,2,2,3,1,0
331,M,20,경기도,2,1,2,3,4,2,3,1,3,3,3,3,1,2
332,M,20,경기도,4,1,3,3,3,3,3,3,3,3,3,3,3,0
333,M,20,경기도,3,1,1,1,4,1,5,1,5,4,4,3,1,1
334,M,20,대전광역시,1,2,2,5,5,2,4,5,4,5,4,4,2,1
335,M,20,대전광역시,4,4,5,3,5,3,5,4,5,3,4,5,3,0
336,F,20,충청남도(세종시 포함),1,1,3,3,3,3,3,3,3,3,3,3,3,0
337,M,20,전라남도,2,3,3,2,3,2,3,3,3,3,3,4,3,2
338,M,20,전라남도,2,1,5,3,4,1,4,2,3,4,5,4,2,2
339,M,20,부산광역시,1,1,4,4,4,4,4,4,4,4,4,4,1,1
340,M,20,서울특별시,1,2,4,2,2,2,3,3,2,2,5,2,2,1
341,M,20,대구광역시,1,3,2,3,2,2,3,3,3,2,2,2,2,1
342,M,20,대구광역시,1,3,3,5,4,3,3,3,4,5,5,4,3,1
343,M,20,경상북도,4,1,3,1,4,3,3,5,3,5,4,5,5,0
344,M,20,전라북도,2,2,4,3,3,2,4,2,5,3,4,3,1,2
345,M,20,부산광역시,1,5,5,5,4,2,3,5,4,5,2,5,4,1
346,M,20,충청남도(세종시 포함),1,1,4,1,1,1,3,1,3,1,5,1,1,1
347,M,20,부산광역시,3,4,5,2,4,4,4,2,3,4,5,5,2,1
348,M,20,전라남도,1,3,4,3,3,3,3,3,3,2,3,3,2,1
349,M,40,서울특별시,3,1,1,3,2,2,4,2,4,3,4,4,3,1
350,M,60,서울특별시,2,2,3,2,2,2,3,2,2,2,2,4,2,1
351,M,60,서울특별시,4,1,3,3,3,1,4,2,4,4,4,3,1,1
352,M,50,대전광역시,3,1,2,2,3,3,3,1,3,3,3,2,1,1
353,F,50,부산광역시,1,3,1,3,2,4,4,4,5,4,4,4,4,0
354,F,40,경기도,3,1,3,2,4,1,3,1,4,3,3,5,1,4
355,F,50,대구광역시,2,2,3,2,3,2,2,2,2,2,2,2,2,0
356,F,40,경상남도,3,1,1,1,4,1,3,2,3,3,3,4,3,4
357,M,50,경상남도,3,1,1,1,1,1,1,1,1,1,1,5,1,1
358,M,60,경상남도,4,3,4,3,3,3,4,3,4,4,4,4,2,1
359,F,40,경기도,2,1,5,2,5,1,3,3,3,2,4,5,1,2
360,F,50,전라남도,3,3,3,3,3,3,3,3,3,3,3,3,3,0
361,M,20,인천광역시,1,2,3,3,2,2,4,3,3,4,4,4,2,1
362,M,50,경기도,3,1,4,2,3,2,3,2,5,4,5,3,1,0
363,F,40,경기도,4,3,5,3,2,2,3,3,4,3,4,4,3,0
364,F,50,대전광역시,2,3,5,5,3,3,3,3,3,3,4,4,3,0
365,M,50,충청남도(세종시 포함),3,3,2,4,3,4,4,3,4,4,4,4,4,1
366,M,40,전라남도,3,1,3,3,3,3,3,3,3,4,3,3,3,1
367,F,20,경상북도,1,3,1,5,4,2,3,2,4,4,4,4,1,0
368,M,30,인천광역시,2,2,5,4,4,2,5,4,4,2,4,5,1,2
369,F,30,서울특별시,2,3,4,3,3,3,3,3,4,3,3,3,3,3
370,M,20,울산광역시,2,4,2,4,2,2,2,2,1,4,2,4,4,2
371,F,40,경기도,2,3,5,4,5,4,4,4,4,4,4,4,3,2
372,M,40,울산광역시,3,1,1,3,2,3,3,2,3,4,3,4,3,1
373,F,40,전라북도,3,1,4,1,4,2,3,2,3,3,3,3,2,4
374,F,20,경상북도,1,3,4,3,4,3,3,3,3,3,4,4,3,0
375,F,30,인천광역시,2,3,2,2,4,1,4,2,4,4,4,4,3,3
376,M,30,대구광역시,4,2,3,3,3,2,4,3,2,4,2,3,3,0
377,M,60,부산광역시,4,3,4,4,3,4,3,3,3,3,3,3,3,1
378,M,50,경기도,2,2,3,2,2,2,4,2,3,3,3,3,2,2
379,M,40,인천광역시,2,3,2,4,4,3,3,3,3,3,3,3,3,2
380,F,50,강원도,3,3,1,1,2,4,3,3,5,2,5,3,2,0
381,F,60,부산광역시,1,2,2,2,3,2,2,3,3,3,3,3,2,0
382,F,50,인천광역시,4,3,5,2,3,4,5,3,3,4,3,5,4,0
383,M,30,경상남도,2,1,2,1,5,1,1,1,5,4,4,3,1,2
384,M,60,부산광역시,2,4,3,5,2,3,3,3,4,3,3,3,3,1
385,F,60,서울특별시,4,1,1,1,1,1,1,4,1,1,1,4,5,0
386,M,50,경기도,3,2,1,3,3,1,1,2,1,3,1,3,3,0
387,M,60,경상남도,4,4,4,3,4,2,2,2,3,3,3,3,2,1
388,F,20,대구광역시,3,3,5,4,4,3,3,3,4,3,4,4,3,4
389,M,40,부산광역시,3,2,4,4,5,3,3,3,3,3,3,4,3,1
390,F,60,경상북도,3,3,3,2,3,2,4,2,2,3,3,2,1,1
391,F,40,강원도,4,2,4,2,4,3,3,2,3,3,4,4,2,0
392,F,30,충청북도,2,3,3,1,4,3,2,3,2,1,2,5,3,3
393,M,40,대구광역시,2,3,3,3,3,2,5,3,4,3,2,4,1,2
394,F,40,경기도,4,1,3,2,5,1,4,3,4,2,5,4,1,0
395,F,50,전라북도,2,1,1,5,5,2,2,2,5,5,5,5,3,0
396,M,40,대전광역시,3,3,4,4,4,1,4,3,4,4,3,4,3,1
397,M,60,부산광역시,4,1,3,2,3,4,3,4,4,4,4,4,1,1
398,F,50,경상남도,3,1,2,1,1,1,2,3,3,4,3,3,1,0
399,M,50,경기도,3,3,3,4,4,3,3,3,3,4,2,4,4,0
400,M,40,서울특별시,3,1,5,2,2,2,2,4,4,5,5,5,4,1
401,M,60,서울특별시,3,2,2,2,3,4,3,4,5,3,5,3,3,1
402,M,20,광주광역시,1,3,3,3,3,3,3,3,3,3,3,3,3,1
403,F,60,강원도,4,3,2,3,3,1,4,3,3,3,4,4,3,0
404,F,40,경상북도,1,2,3,2,3,2,3,3,3,2,3,3,2,4
405,M,50,울산광역시,3,2,1,3,3,2,4,2,3,4,4,3,2,1
406,F,20,광주광역시,4,2,4,3,3,3,3,3,1,3,3,3,3,0
407,F,20,경기도,1,2,4,3,5,1,3,3,3,3,2,3,1,0
408,F,20,울산광역시,1,1,3,4,3,3,3,4,5,5,4,3,3,0
409,F,20,경기도,1,1,5,3,1,1,3,1,4,5,4,3,1,0
410,F,40,경기도,3,2,3,3,4,3,4,4,4,3,4,4,2,4
411,F,60,경상남도,1,3,2,3,4,3,4,3,4,3,3,4,2,0
412,F,20,제주도,1,1,4,4,4,1,4,3,3,2,4,4,1,0
413,M,30,전라남도,3,3,3,3,3,3,3,3,3,3,3,3,3,1
414,M,60,대구광역시,4,2,2,3,4,4,4,3,3,3,3,3,3,1
415,F,30,경상북도,3,1,1,4,3,1,2,3,1,2,3,3,1,3
416,M,30,강원도,3,3,1,3,2,3,3,3,3,3,3,3,3,1
417,F,20,전라남도,3,2,3,3,4,2,3,3,4,3,4,4,2,4
418,M,30,대구광역시,2,3,3,3,3,3,3,3,3,3,3,3,3,2
419,M,50,강원도,4,3,3,3,3,3,4,4,3,3,3,4,3,0
420,M,60,울산광역시,1,1,1,1,1,1,5,1,4,4,4,3,1,1
421,M,50,경기도,1,1,4,3,2,1,3,2,3,2,1,4,1,0
422,M,30,전라북도,4,2,3,4,4,2,3,2,2,3,3,4,1,0
423,M,50,충청남도(세종시 포함),4,1,2,2,3,2,3,4,4,4,4,4,2,0
424,F,30,인천광역시,3,1,4,5,4,1,3,1,5,1,1,2,1,4
425,M,30,전라북도,3,1,3,3,3,1,3,1,3,3,3,3,3,1
426,F,20,충청남도(세종시 포함),1,3,4,4,4,3,5,3,5,4,4,4,3,0
427,M,30,부산광역시,4,1,5,4,1,1,5,1,3,3,1,4,1,0
428,M,40,서울특별시,2,1,5,1,1,1,5,1,5,1,1,1,1,2
429,F,40,대구광역시,1,2,5,4,5,1,2,2,4,4,4,3,1,4
430,F,60,광주광역시,4,1,1,3,1,3,4,1,4,4,4,5,1,0
431,F,40,경기도,4,1,4,1,2,1,4,1,3,3,4,3,1,0
432,F,50,충청북도,3,1,1,1,1,3,3,3,2,3,4,3,1,0
433,F,30,경상남도,2,1,2,3,3,1,3,3,3,3,3,3,1,3
434,M,50,부산광역시,2,1,1,1,1,1,1,1,1,1,1,1,1,2
435,F,30,경상남도,2,4,2,4,4,4,5,4,5,4,4,4,4,3
436,F,40,울산광역시,4,1,1,3,3,2,5,3,5,5,5,4,3,0
437,F,30,서울특별시,2,3,5,5,5,4,3,3,4,4,4,4,3,3
438,F,60,대구광역시,4,3,4,4,4,3,3,3,3,3,3,3,3,0
439,F,30,인천광역시,3,3,4,4,4,3,4,4,3,4,3,4,3,4
440,F,20,대구광역시,2,4,4,4,4,3,3,3,3,3,3,4,3,3
441,F,40,경기도,4,1,3,4,3,3,4,1,5,3,2,4,3,0
442,M,50,인천광역시,4,3,4,3,4,3,3,3,3,3,3,3,3,0
443,F,40,경기도,3,2,4,4,3,3,3,3,3,3,2,3,2,4
444,M,50,경기도,4,3,3,3,4,3,4,3,4,4,4,4,3,0
445,F,20,경기도,2,2,4,4,4,3,4,3,3,3,3,4,3,0
446,F,30,서울특별시,3,1,1,3,4,4,4,3,4,4,5,4,2,3
447,F,20,부산광역시,3,3,1,2,4,3,4,2,5,5,5,4,1,4
448,F,60,인천광역시,2,2,3,4,4,2,3,3,4,3,4,3,2,3
449,M,40,전라북도,2,3,4,3,4,3,3,3,3,3,3,3,3,2
450,M,60,울산광역시,2,4,5,5,4,4,5,4,5,5,5,5,4,1
451,F,40,울산광역시,3,2,1,3,4,2,4,2,5,5,5,5,1,4
452,F,60,부산광역시,1,4,5,5,4,4,5,4,5,5,4,5,4,0
453,M,60,전라북도,4,3,3,3,4,3,4,3,4,3,3,4,3,1
454,M,50,경기도,4,1,5,1,1,1,5,4,5,1,4,5,4,0
455,F,20,경기도,3,2,3,2,5,2,2,3,5,3,4,4,2,0
456,M,50,인천광역시,3,3,3,3,3,3,4,4,4,4,4,5,5,1
457,M,40,서울특별시,1,1,1,3,4,1,2,1,2,2,2,4,1,1
458,F,30,인천광역시,3,3,4,4,4,3,4,3,3,3,3,4,3,4
459,F,40,경상남도,2,3,5,4,5,4,4,4,4,4,4,4,4,2
460,F,40,경기도,3,3,5,5,4,2,5,4,5,5,4,5,2,4
461,F,60,충청북도,1,3,2,3,3,5,3,3,5,5,3,3,3,0
462,F,60,강원도,2,2,3,2,3,3,4,1,2,2,2,4,1,3
463,M,40,서울특별시,4,2,4,3,3,3,3,3,3,3,3,4,3,1
464,M,60,서울특별시,4,1,5,3,1,3,5,3,4,3,4,4,4,1
465,M,40,충청남도(세종시 포함),3,2,3,2,2,3,3,3,3,3,2,2,2,1
466,F,30,대전광역시,3,1,3,4,4,3,4,3,4,4,5,4,3,3
467,F,40,충청남도(세종시 포함),4,1,5,2,2,5,5,5,5,5,5,5,5,0
468,F,20,경상남도,1,2,3,3,3,1,4,3,5,3,4,4,3,0
469,M,30,경상남도,3,1,5,4,5,4,4,3,4,3,4,4,3,1
470,F,60,전라북도,4,3,3,5,4,2,4,3,5,4,5,5,3,0
471,M,40,서울특별시,4,2,1,3,3,2,3,2,3,3,3,3,1,1
472,F,20,경기도,1,2,5,3,5,3,5,5,5,3,3,5,2,0
473,M,30,경상남도,2,2,3,3,3,1,5,3,5,5,4,3,1,2
474,F,20,부산광역시,4,2,4,3,4,3,2,3,4,3,2,4,3,0
475,F,60,충청남도(세종시 포함),3,3,1,3,3,3,3,2,3,4,3,4,3,1
476,F,30,경상북도,1,2,4,3,4,3,3,3,3,3,3,3,3,3
477,F,30,부산광역시,1,4,4,4,4,4,4,4,4,4,4,4,4,3
478,M,50,경기도,4,2,2,2,4,3,3,3,3,3,3,3,3,0
479,M,50,대전광역시,4,2,4,4,5,5,5,5,5,5,5,4,4,0
480,F,40,경상북도,3,1,4,4,4,2,3,3,4,4,4,5,2,4
481,M,50,경기도,3,1,1,5,3,1,1,1,1,1,1,2,1,0
482,M,40,인천광역시,4,1,2,2,3,2,4,3,4,3,4,4,3,2
483,F,50,전라북도,1,1,1,1,1,1,1,1,1,1,1,1,1,0
484,M,50,경상남도,3,2,3,4,4,3,3,2,4,4,4,2,1,1
485,F,20,대전광역시,2,3,1,2,3,3,3,3,3,3,3,3,2,3
486,F,60,인천광역시,3,3,4,3,4,4,3,3,5,4,4,2,1,4
487,M,50,광주광역시,2,1,1,2,1,2,3,2,3,4,3,3,1,2
488,F,60,인천광역시,4,1,4,3,2,3,4,4,4,4,4,4,3,0
489,M,40,인천광역시,3,4,5,4,3,4,4,4,5,3,4,4,3,4
490,F,20,충청북도,3,1,4,3,4,2,3,1,3,3,3,4,3,4
491,F,30,서울특별시,1,2,1,4,4,2,3,3,5,2,4,4,3,3
492,M,50,대전광역시,3,3,3,3,4,3,5,5,4,4,4,4,3,1
493,F,40,제주도,3,3,4,3,3,3,4,4,3,3,3,4,3,4
494,M,50,인천광역시,4,3,4,4,4,3,3,3,3,3,3,3,3,0
495,M,50,부산광역시,3,3,1,3,3,1,3,3,3,3,3,3,3,1
496,F,60,서울특별시,3,1,2,2,2,5,2,4,3,5,4,3,4,1
497,M,60,서울특별시,2,1,3,3,4,2,3,4,3,3,3,3,2,1
498,M,60,서울특별시,2,1,2,2,1,3,4,4,4,3,5,4,2,1
499,F,60,서울특별시,2,1,1,1,1,1,1,1,1,1,1,1,1,3
500,F,60,서울특별시,2,5,3,4,3,3,3,3,4,3,3,4,3,3
501,F,60,서울특별시,3,3,3,1,1,3,3,3,3,3,3,2,1,1
502,F,60,서울특별시,3,2,3,3,3,3,5,3,5,3,3,3,3,1
503,F,60,경상북도,1,4,4,3,3,3,2,2,3,3,3,4,2,0
504,F,50,서울특별시,2,2,2,3,4,2,4,3,5,4,3,4,2,3
505,F,50,서울특별시,4,2,5,4,4,2,2,1,2,2,2,1,1,0
506,F,50,서울특별시,3,3,4,3,3,3,3,3,4,3,3,3,3,0
507,F,50,서울특별시,2,1,3,4,5,1,1,1,4,3,2,1,1,3
508,F,50,인천광역시,4,1,4,2,4,2,3,1,3,3,3,3,1,0
509,F,50,인천광역시,4,4,3,3,4,1,1,1,2,1,4,1,1,0
510,F,50,충청북도,2,1,3,2,5,2,2,2,2,2,2,4,1,0
511,F,40,경기도,3,1,1,3,3,1,4,3,3,3,4,4,1,4
512,F,40,경기도,3,2,1,3,3,3,4,3,3,3,4,3,2,4
513,F,40,경기도,3,2,1,3,3,1,3,3,3,4,4,4,2,4
514,F,40,경기도,3,3,2,3,2,2,2,3,3,4,4,4,1,4
515,F,40,경기도,4,1,4,5,5,4,4,1,5,5,5,5,2,0
516,F,40,경기도,3,1,1,4,4,1,3,5,5,5,5,5,1,4
517,F,40,서울특별시,2,3,1,1,4,1,5,2,4,4,4,3,4,3
518,F,40,서울특별시,3,3,3,3,3,3,5,3,5,5,4,4,3,4
519,F,40,서울특별시,2,1,1,3,3,1,4,1,4,3,4,1,1,3
520,F,40,서울특별시,3,2,1,4,3,4,4,4,3,3,4,4,4,4
521,F,40,서울특별시,4,1,2,3,3,4,3,3,4,4,4,3,4,0
522,F,40,서울특별시,4,3,3,4,3,3,4,3,4,4,4,4,3,0
523,F,40,서울특별시,3,1,3,4,3,2,4,3,4,3,4,4,2,4
524,F,40,서울특별시,2,1,3,3,4,3,4,3,3,3,4,3,3,3
525,F,40,부산광역시,3,1,3,3,3,5,4,4,5,5,5,4,4,4
526,F,40,부산광역시,2,1,1,2,2,2,5,3,2,4,4,5,3,2
527,F,40,부산광역시,2,1,1,1,1,1,5,4,4,4,4,3,1,2
528,F,40,부산광역시,3,4,3,4,5,2,4,4,4,3,4,4,3,4
529,F,40,대구광역시,3,1,1,3,1,1,4,1,5,3,3,1,1,4
530,F,40,대구광역시,3,4,2,3,4,3,3,3,3,3,3,3,3,4
531,F,40,대구광역시,4,4,5,3,4,4,4,3,4,3,4,5,3,0
532,F,30,경기도,1,3,2,3,4,3,3,3,3,4,4,4,3,0
533,F,30,경기도,4,3,4,3,3,3,4,4,3,3,3,4,3,0
534,F,30,경기도,4,1,4,3,4,2,3,2,4,5,4,4,2,0
535,F,30,경기도,2,3,3,3,3,3,5,3,3,3,3,3,3,3
536,F,30,경기도,2,2,2,3,3,4,3,3,4,4,3,4,3,3
537,F,30,서울특별시,1,3,4,3,4,3,4,3,4,4,3,4,3,3
538,F,30,서울특별시,4,2,3,4,4,4,4,4,4,4,4,4,3,3
539,F,30,서울특별시,2,1,2,2,3,2,4,3,5,3,4,3,4,3
540,F,30,울산광역시,2,1,4,2,3,1,3,1,4,4,4,1,1,3
541,F,20,경기도,3,1,4,4,3,1,4,3,4,3,3,5,1,0
542,F,20,경기도,3,2,4,3,4,3,3,4,3,3,4,4,2,0
543,F,20,경기도,4,2,3,4,4,2,4,4,4,4,4,4,2,0
544,F,20,경기도,3,1,5,3,5,5,3,3,5,5,3,5,3,0
545,F,20,경기도,2,1,5,3,1,1,3,3,3,1,3,3,1,0
546,M,60,서울특별시,4,4,5,2,3,3,3,4,4,4,5,4,2,1
547,M,60,서울특별시,4,2,3,1,4,4,5,5,5,5,4,5,2,1
548,M,60,서울특별시,1,3,3,3,3,3,3,3,3,3,3,3,3,1
549,M,60,서울특별시,3,1,5,1,1,4,1,1,4,4,1,1,1,1
550,M,60,서울특별시,3,2,3,3,3,3,3,3,4,3,4,3,3,1
551,M,60,서울특별시,3,2,2,2,3,3,4,3,4,4,4,4,4,1
552,M,60,서울특별시,4,3,4,3,4,3,4,2,4,4,4,3,2,1
553,M,60,광주광역시,4,1,1,3,4,4,4,3,3,3,3,4,3,1
554,M,50,부산광역시,4,3,1,4,3,4,4,3,4,4,5,5,3,0
555,M,50,부산광역시,3,2,3,2,4,2,2,2,2,2,2,3,2,1
556,M,50,부산광역시,3,3,5,3,4,3,3,3,3,3,3,4,3,1
557,M,50,부산광역시,2,3,3,3,2,3,4,4,4,4,4,4,3,2
558,M,50,인천광역시,1,1,1,3,2,3,1,4,1,3,1,1,4,0
559,M,50,인천광역시,4,1,1,3,3,4,5,4,3,3,5,5,1,0
560,M,50,인천광역시,3,2,4,2,3,3,3,3,3,3,3,4,3,1
561,M,50,대전광역시,4,3,3,3,3,3,3,3,3,3,3,3,3,0
562,M,50,대전광역시,3,2,5,2,5,3,2,3,3,3,4,3,1,1
563,M,50,전라북도,3,3,2,3,3,2,3,3,3,4,4,2,3,1
564,M,50,전라북도,4,3,2,3,4,3,2,2,3,2,2,3,2,0
565,M,40,경기도,3,3,3,3,3,3,3,3,3,3,3,3,3,2
566,M,40,경기도,3,3,4,3,4,3,3,3,4,4,4,3,3,2
567,M,40,경기도,3,2,3,3,3,2,3,3,3,4,3,4,2,2
568,M,40,경기도,3,2,5,4,3,3,4,3,4,4,4,4,3,2
569,M,40,경기도,3,2,3,2,3,2,3,2,2,4,3,4,1,2
570,M,40,경기도,2,3,4,4,4,2,3,3,3,3,3,3,2,2
571,M,40,경기도,3,3,4,2,5,1,5,4,4,2,5,1,3,2
572,M,40,경기도,4,3,2,3,4,3,3,4,5,4,5,3,3,2
573,M,40,부산광역시,3,1,5,3,3,1,4,3,3,5,4,5,1,1
574,M,40,부산광역시,4,1,4,2,5,3,4,2,3,3,4,5,3,2
575,M,40,경상북도,3,3,3,3,3,3,3,3,3,3,3,3,3,1
576,M,30,경기도,2,1,4,4,4,1,2,1,4,3,2,4,1,2
577,F,60,경기도,1,1,2,1,2,2,1,2,2,4,2,4,1,0
578,F,60,대전광역시,2,3,3,3,2,2,3,3,2,2,4,4,3,3
579,M,20,인천광역시,2,4,4,4,3,1,4,2,4,4,4,4,1,2
580,F,60,경기도,3,2,2,2,3,2,3,2,3,3,2,3,2,0
581,M,20,전라북도,3,3,3,2,2,2,3,3,2,3,3,3,3,1
582,F,60,대구광역시,2,4,3,4,4,3,4,4,4,5,4,4,4,3
583,F,50,경상북도,4,2,3,3,2,1,3,2,3,2,3,3,2,0
584,M,30,경기도,4,2,5,5,5,5,3,3,5,4,5,3,2,0
585,M,20,인천광역시,3,2,3,3,3,2,3,2,4,4,3,2,3,1
586,M,20,경기도,2,3,3,3,3,3,3,3,3,3,3,3,3,2
587,F,60,강원도,1,1,3,2,1,1,4,3,3,4,2,5,1,0
588,F,60,경기도,4,1,3,3,1,2,4,3,4,3,4,4,3,0
589,M,20,경기도,4,2,2,3,4,2,3,2,4,3,3,3,3,0
590,M,20,경기도,2,3,3,1,1,1,5,3,1,1,1,1,1,2
591,M,20,경기도,4,3,3,3,3,3,3,3,3,3,3,3,3,0
592,M,20,제주도,2,1,4,3,3,2,3,2,4,3,4,3,3,2
593,M,20,부산광역시,1,2,5,3,3,3,3,4,2,5,4,2,2,1
594,M,20,경기도,1,3,3,3,3,3,3,3,3,3,3,3,3,2
595,M,20,부산광역시,1,4,3,3,3,3,3,3,3,3,3,2,3,1
596,M,20,경기도,3,1,5,1,3,3,3,1,3,3,3,3,1,1
597,M,20,제주도,1,3,3,3,3,2,3,3,3,3,3,2,2,1
598,F,50,전라남도,4,3,3,3,3,3,3,3,3,3,3,3,3,0
599,F,60,전라남도,2,1,4,2,3,2,3,3,4,4,4,4,4,3
600,M,20,대전광역시,1,4,3,3,4,3,4,2,3,4,4,4,3,1
601,M,20,경상북도,4,1,5,4,1,1,2,2,2,2,2,1,1,0
